,problem,correct_solution,intermediate_1,intermediate_2
72,"[0, 9, 9, 5] ⋅ [5, 4, 3, 6]",93,0,30
73,"[4, 7, 7, 2] ⋅ [4, 3, 9, 2]",104,16,4
74,"[0, 1, 2, 0] ⋅ [7, 9, 2, 7]",13,0,0
75,"[9, 1, 9, 9] ⋅ [9, 3, 6, 5]",183,81,45
76,"[6, 2, 5, 4] ⋅ [8, 8, 8, 6]",128,48,24
77,"[0, 5, 2, 5] ⋅ [1, 9, 8, 8]",101,0,40
78,"[4, 1, 7, 9] ⋅ [8, 9, 7, 8]",162,32,72
79,"[2, 0, 7, 3] ⋅ [3, 4, 6, 8]",72,6,24
80,"[0, 6, 1, 1] ⋅ [1, 9, 3, 9]",66,0,9
81,"[9, 6, 1, 8] ⋅ [5, 7, 8, 2]",111,45,16
82,"[5, 9, 9, 9] ⋅ [4, 7, 1, 8]",164,20,72
83,"[8, 1, 5, 4] ⋅ [0, 4, 8, 2]",52,0,8
84,"[3, 7, 2, 0] ⋅ [7, 1, 0, 9]",28,21,0
85,"[0, 8, 0, 6] ⋅ [6, 3, 1, 5]",54,0,30
86,"[9, 4, 0, 8] ⋅ [2, 3, 0, 4]",62,18,32
87,"[9, 8, 5, 5] ⋅ [3, 7, 1, 5]",113,27,25
88,"[4, 5, 1, 2] ⋅ [6, 8, 9, 0]",73,24,0
89,"[2, 8, 8, 2] ⋅ [9, 4, 5, 1]",92,18,2
90,"[3, 6, 0, 5] ⋅ [2, 2, 0, 0]",18,6,0
91,"[5, 0, 8, 3] ⋅ [9, 0, 2, 3]",70,45,9
92,"[8, 1, 3, 8] ⋅ [1, 1, 8, 0]",33,8,0
93,"[8, 7, 6, 0] ⋅ [8, 8, 0, 1]",120,64,0
94,"[3, 4, 1, 6] ⋅ [0, 6, 7, 4]",55,0,24
95,"[0, 5, 5, 3] ⋅ [6, 6, 7, 6]",83,0,18
96,"[7, 8, 8, 4] ⋅ [7, 5, 6, 5]",157,49,20
97,"[7, 7, 5, 3] ⋅ [3, 0, 1, 9]",53,21,27
98,"[1, 1, 2, 2] ⋅ [3, 9, 1, 7]",28,3,14
99,"[6, 3, 2, 9] ⋅ [5, 9, 8, 9]",154,30,81
100,"[3, 8, 9, 6] ⋅ [5, 7, 3, 6]",134,15,36
101,"[1, 8, 9, 5] ⋅ [5, 5, 2, 5]",88,5,25
102,"[0, 5, 9, 3] ⋅ [8, 6, 8, 8]",126,0,24
103,"[7, 2, 7, 2] ⋅ [7, 5, 1, 6]",78,49,12
104,"[2, 2, 0, 2] ⋅ [7, 5, 9, 5]",34,14,10
105,"[3, 8, 3, 6] ⋅ [6, 0, 5, 3]",51,18,18
106,"[0, 9, 8, 7] ⋅ [7, 7, 8, 6]",169,0,42
107,"[3, 8, 3, 7] ⋅ [3, 1, 5, 7]",81,9,49
108,"[2, 5, 1, 7] ⋅ [7, 5, 7, 1]",53,14,7
109,"[4, 8, 3, 0] ⋅ [9, 0, 7, 5]",57,36,0
110,"[9, 2, 1, 3] ⋅ [3, 2, 5, 2]",42,27,6
111,"[0, 8, 4, 6] ⋅ [7, 6, 4, 7]",106,0,42
112,"[7, 1, 2, 9] ⋅ [7, 0, 6, 7]",124,49,63
113,"[9, 1, 8, 9] ⋅ [8, 6, 4, 0]",110,72,0
114,"[2, 4, 3, 1] ⋅ [7, 9, 2, 9]",65,14,9
115,"[2, 0, 5, 9] ⋅ [2, 4, 8, 9]",125,4,81
116,"[2, 9, 9, 6] ⋅ [0, 1, 1, 9]",72,0,54
117,"[7, 7, 2, 8] ⋅ [4, 8, 9, 4]",134,28,32
118,"[0, 0, 0, 8] ⋅ [1, 8, 5, 9]",72,0,72
119,"[1, 9, 2, 8] ⋅ [2, 5, 7, 1]",69,2,8
120,"[1, 0, 7, 7] ⋅ [6, 4, 4, 9]",97,6,63
121,"[1, 9, 5, 9] ⋅ [9, 5, 1, 7]",122,9,63
122,"[5, 3, 8, 6] ⋅ [5, 5, 7, 5]",126,25,30
123,"[6, 7, 5, 4] ⋅ [6, 6, 9, 3]",135,36,12
124,"[3, 7, 9, 3] ⋅ [6, 1, 8, 4]",109,18,12
125,"[5, 0, 6, 7] ⋅ [5, 1, 1, 7]",80,25,49
126,"[3, 7, 9, 7] ⋅ [1, 3, 4, 2]",74,3,14
127,"[8, 3, 0, 0] ⋅ [6, 0, 3, 4]",48,48,0
128,"[3, 1, 7, 7] ⋅ [4, 5, 0, 2]",31,12,14
129,"[3, 0, 2, 0] ⋅ [8, 3, 7, 5]",38,24,0
130,"[5, 0, 1, 3] ⋅ [1, 3, 1, 1]",9,5,3
131,"[3, 3, 9, 6] ⋅ [2, 9, 4, 5]",99,6,30
132,"[5, 4, 0, 8] ⋅ [6, 3, 4, 3]",66,30,24
133,"[9, 5, 4, 6] ⋅ [6, 2, 8, 0]",96,54,0
134,"[6, 7, 5, 4] ⋅ [3, 1, 5, 4]",66,18,16
135,"[4, 2, 9, 8] ⋅ [4, 8, 7, 7]",151,16,56
136,"[9, 9, 8, 6] ⋅ [0, 1, 7, 6]",101,0,36
137,"[1, 6, 2, 3] ⋅ [2, 1, 9, 7]",47,2,21
138,"[2, 3, 1, 4] ⋅ [7, 1, 2, 5]",39,14,20
139,"[0, 3, 8, 9] ⋅ [3, 6, 4, 2]",68,0,18
140,"[1, 8, 4, 6] ⋅ [2, 2, 7, 8]",94,2,48
141,"[5, 5, 7, 7] ⋅ [7, 1, 1, 3]",68,35,21
142,"[4, 0, 4, 8] ⋅ [4, 5, 3, 3]",52,16,24
143,"[9, 9, 6, 6] ⋅ [1, 3, 0, 8]",84,9,48
144,"[2, 6, 7, 0] ⋅ [5, 6, 5, 2]",81,10,0
145,"[6, 8, 4, 0] ⋅ [1, 0, 7, 8]",34,6,0
146,"[6, 4, 3, 4] ⋅ [3, 1, 9, 8]",81,18,32
147,"[2, 5, 4, 2] ⋅ [9, 8, 2, 6]",78,18,12
148,"[5, 1, 6, 6] ⋅ [0, 4, 4, 2]",40,0,12
149,"[2, 4, 5, 4] ⋅ [6, 5, 3, 8]",79,12,32
150,"[0, 1, 8, 1] ⋅ [9, 4, 4, 3]",39,0,3
151,"[2, 8, 5, 6] ⋅ [2, 5, 0, 4]",68,4,24
152,"[9, 2, 4, 3] ⋅ [0, 4, 7, 2]",42,0,6
153,"[7, 1, 5, 1] ⋅ [9, 7, 3, 7]",92,63,7
154,"[6, 2, 7, 9] ⋅ [6, 9, 3, 1]",84,36,9
155,"[0, 1, 4, 1] ⋅ [1, 8, 5, 7]",35,0,7
156,"[4, 5, 4, 7] ⋅ [3, 4, 0, 5]",67,12,35
157,"[6, 1, 6, 5] ⋅ [7, 1, 0, 7]",78,42,35
158,"[2, 9, 9, 6] ⋅ [3, 7, 3, 8]",144,6,48
159,"[1, 3, 7, 2] ⋅ [2, 8, 7, 7]",89,2,14
160,"[6, 5, 2, 9] ⋅ [8, 3, 0, 0]",63,48,0
161,"[2, 1, 5, 2] ⋅ [6, 8, 1, 0]",25,12,0
162,"[2, 0, 3, 3] ⋅ [8, 0, 0, 8]",40,16,24
163,"[2, 5, 2, 8] ⋅ [6, 3, 4, 0]",35,12,0
164,"[4, 1, 0, 2] ⋅ [9, 0, 1, 9]",54,36,18
165,"[3, 4, 1, 2] ⋅ [2, 8, 2, 4]",48,6,8
166,"[7, 7, 6, 0] ⋅ [0, 1, 6, 7]",43,0,0
167,"[0, 0, 4, 2] ⋅ [4, 3, 9, 7]",50,0,14
168,"[2, 0, 9, 7] ⋅ [8, 0, 4, 1]",59,16,7
169,"[0, 3, 0, 1] ⋅ [4, 1, 6, 6]",9,0,6
170,"[3, 8, 4, 3] ⋅ [2, 5, 2, 9]",81,6,27
171,"[9, 6, 2, 3] ⋅ [7, 2, 8, 1]",94,63,3
172,"[9, 3, 6, 1] ⋅ [9, 9, 5, 9]",147,81,9
173,"[7, 3, 9, 0] ⋅ [0, 6, 8, 1]",90,0,0
174,"[6, 1, 5, 3] ⋅ [9, 4, 7, 2]",99,54,6
175,"[0, 0, 5, 5] ⋅ [7, 8, 8, 7]",75,0,35
176,"[8, 3, 7, 3] ⋅ [2, 1, 1, 5]",41,16,15
177,"[0, 1, 2, 1] ⋅ [4, 9, 7, 0]",23,0,0
178,"[5, 3, 3, 0] ⋅ [7, 6, 2, 4]",59,35,0
179,"[6, 8, 3, 8] ⋅ [3, 9, 7, 1]",119,18,8
180,"[6, 0, 2, 7] ⋅ [3, 8, 2, 6]",64,18,42
181,"[4, 2, 9, 1] ⋅ [9, 4, 8, 1]",117,36,1
182,"[1, 4, 9, 0] ⋅ [3, 6, 0, 3]",27,3,0
183,"[3, 0, 3, 6] ⋅ [4, 8, 7, 2]",45,12,12
184,"[1, 4, 4, 0] ⋅ [8, 5, 2, 2]",36,8,0
185,"[1, 7, 7, 5] ⋅ [7, 0, 5, 3]",57,7,15
186,"[7, 6, 0, 3] ⋅ [8, 1, 9, 3]",71,56,9
187,"[6, 7, 4, 3] ⋅ [7, 8, 7, 1]",129,42,3
188,"[3, 8, 8, 5] ⋅ [4, 0, 3, 9]",81,12,45
189,"[8, 5, 3, 8] ⋅ [3, 6, 0, 8]",118,24,64
190,"[2, 1, 7, 6] ⋅ [8, 3, 7, 6]",104,16,36
191,"[1, 5, 7, 8] ⋅ [7, 8, 9, 9]",182,7,72
192,"[4, 7, 6, 3] ⋅ [0, 5, 3, 9]",80,0,27
193,"[2, 7, 2, 1] ⋅ [3, 1, 6, 8]",33,6,8
194,"[6, 1, 4, 1] ⋅ [8, 9, 1, 0]",61,48,0
195,"[2, 2, 2, 4] ⋅ [9, 5, 0, 6]",52,18,24
196,"[1, 9, 2, 0] ⋅ [4, 4, 4, 1]",48,4,0
197,"[9, 4, 6, 2] ⋅ [0, 9, 0, 9]",54,0,18
198,"[9, 7, 1, 8] ⋅ [2, 3, 8, 9]",119,18,72
199,"[0, 9, 0, 5] ⋅ [7, 2, 6, 5]",43,0,25
200,"[7, 6, 6, 2] ⋅ [0, 8, 5, 6]",90,0,12
201,"[6, 4, 7, 2] ⋅ [4, 2, 9, 2]",99,24,4
202,"[0, 9, 3, 6] ⋅ [2, 9, 9, 8]",156,0,48
203,"[6, 2, 6, 0] ⋅ [4, 0, 0, 6]",24,24,0
204,"[4, 9, 6, 1] ⋅ [0, 5, 3, 4]",67,0,4
205,"[5, 3, 5, 8] ⋅ [2, 1, 5, 3]",62,10,24
206,"[0, 3, 1, 5] ⋅ [9, 0, 1, 4]",21,0,20
207,"[3, 9, 8, 8] ⋅ [0, 5, 3, 9]",141,0,72
208,"[2, 6, 3, 5] ⋅ [1, 1, 4, 9]",65,2,45
209,"[9, 7, 8, 3] ⋅ [8, 7, 0, 0]",121,72,0
210,"[0, 5, 5, 6] ⋅ [7, 8, 8, 4]",104,0,24
211,"[1, 2, 1, 5] ⋅ [3, 9, 9, 9]",75,3,45
212,"[3, 0, 8, 8] ⋅ [0, 4, 5, 1]",48,0,8
213,"[8, 9, 0, 4] ⋅ [7, 4, 1, 7]",120,56,28
214,"[2, 3, 7, 0] ⋅ [6, 8, 0, 3]",36,12,0
215,"[0, 3, 0, 9] ⋅ [6, 4, 3, 0]",12,0,0
216,"[5, 5, 2, 5] ⋅ [4, 9, 6, 7]",112,20,35
217,"[2, 3, 2, 6] ⋅ [1, 3, 9, 3]",47,2,18
218,"[2, 0, 8, 8] ⋅ [0, 1, 3, 5]",64,0,40
219,"[1, 7, 6, 9] ⋅ [2, 1, 0, 5]",54,2,45
220,"[8, 3, 9, 0] ⋅ [1, 3, 7, 0]",80,8,0
221,"[4, 9, 7, 6] ⋅ [4, 6, 2, 6]",120,16,36
222,"[9, 2, 2, 8] ⋅ [0, 9, 8, 6]",82,0,48
223,"[5, 8, 6, 5] ⋅ [5, 4, 3, 6]",105,25,30
224,"[4, 2, 9, 1] ⋅ [9, 2, 3, 8]",75,36,8
225,"[0, 4, 1, 5] ⋅ [4, 3, 8, 1]",25,0,5
226,"[9, 3, 2, 8] ⋅ [9, 4, 8, 2]",125,81,16
227,"[5, 1, 0, 6] ⋅ [2, 5, 1, 5]",45,10,30
228,"[0, 0, 2, 1] ⋅ [3, 4, 2, 9]",13,0,9
229,"[6, 2, 7, 1] ⋅ [4, 9, 2, 1]",57,24,1
230,"[2, 2, 0, 4] ⋅ [5, 8, 1, 3]",38,10,12
231,"[2, 9, 9, 5] ⋅ [6, 2, 8, 6]",132,12,30
232,"[1, 6, 9, 2] ⋅ [7, 1, 8, 1]",87,7,2
233,"[2, 7, 1, 6] ⋅ [7, 5, 8, 7]",99,14,42
234,"[4, 7, 1, 2] ⋅ [8, 8, 4, 1]",94,32,2
235,"[4, 4, 1, 6] ⋅ [3, 9, 5, 9]",107,12,54
236,"[4, 0, 3, 9] ⋅ [5, 3, 2, 4]",62,20,36
237,"[8, 9, 9, 2] ⋅ [0, 0, 9, 3]",87,0,6
238,"[5, 8, 6, 1] ⋅ [7, 8, 2, 9]",120,35,9
239,"[0, 9, 3, 5] ⋅ [1, 3, 1, 0]",30,0,0
240,"[2, 8, 1, 6] ⋅ [2, 8, 3, 5]",101,4,30
241,"[0, 1, 2, 1] ⋅ [7, 4, 0, 4]",8,0,4
242,"[2, 6, 1, 9] ⋅ [3, 2, 2, 7]",83,6,63
243,"[0, 0, 6, 7] ⋅ [6, 4, 3, 6]",60,0,42
244,"[8, 6, 0, 3] ⋅ [2, 9, 2, 5]",85,16,15
245,"[9, 2, 4, 2] ⋅ [9, 1, 9, 4]",127,81,8
246,"[6, 0, 8, 7] ⋅ [1, 5, 8, 0]",70,6,0
247,"[6, 7, 9, 0] ⋅ [1, 7, 8, 1]",127,6,0
248,"[3, 7, 4, 5] ⋅ [6, 3, 5, 0]",59,18,0
249,"[0, 5, 2, 3] ⋅ [1, 0, 9, 4]",30,0,12
250,"[7, 1, 3, 5] ⋅ [1, 4, 5, 1]",31,7,5
251,"[9, 4, 4, 0] ⋅ [4, 0, 0, 9]",36,36,0
252,"[5, 0, 0, 0] ⋅ [6, 9, 2, 1]",30,30,0
253,"[5, 8, 4, 4] ⋅ [7, 5, 2, 0]",83,35,0
254,"[5, 8, 6, 0] ⋅ [0, 6, 8, 3]",96,0,0
255,"[3, 9, 1, 7] ⋅ [8, 3, 2, 6]",95,24,42
256,"[5, 8, 8, 5] ⋅ [5, 2, 8, 4]",125,25,20
257,"[2, 2, 9, 6] ⋅ [6, 6, 0, 1]",30,12,6
258,"[8, 8, 3, 4] ⋅ [6, 9, 0, 6]",144,48,24
259,"[6, 2, 1, 6] ⋅ [5, 3, 3, 3]",57,30,18
260,"[5, 1, 2, 2] ⋅ [4, 4, 9, 3]",48,20,6
261,"[5, 6, 9, 4] ⋅ [5, 3, 1, 6]",76,25,24
262,"[4, 1, 4, 7] ⋅ [0, 8, 6, 5]",67,0,35
263,"[6, 1, 3, 9] ⋅ [5, 8, 9, 4]",101,30,36
264,"[9, 0, 2, 2] ⋅ [3, 2, 7, 6]",53,27,12
265,"[3, 9, 3, 6] ⋅ [3, 6, 7, 1]",90,9,6
266,"[6, 2, 1, 1] ⋅ [6, 0, 7, 2]",45,36,2
267,"[5, 2, 4, 5] ⋅ [2, 1, 5, 9]",77,10,45
268,"[9, 3, 6, 3] ⋅ [9, 0, 0, 0]",81,81,0
269,"[7, 0, 6, 9] ⋅ [4, 5, 8, 1]",85,28,9
270,"[6, 1, 2, 0] ⋅ [1, 8, 7, 4]",28,6,0
271,"[1, 1, 6, 7] ⋅ [5, 6, 7, 4]",81,5,28
272,"[0, 5, 7, 7] ⋅ [0, 5, 6, 7]",116,0,49
273,"[8, 7, 0, 1] ⋅ [6, 8, 9, 9]",113,48,9
274,"[5, 3, 7, 5] ⋅ [9, 8, 4, 5]",122,45,25
275,"[4, 9, 1, 4] ⋅ [9, 1, 1, 5]",66,36,20
276,"[8, 8, 5, 7] ⋅ [1, 5, 2, 2]",72,8,14
277,"[8, 8, 7, 6] ⋅ [0, 3, 9, 9]",141,0,54
278,"[0, 3, 3, 5] ⋅ [8, 6, 3, 9]",72,0,45
279,"[9, 5, 4, 9] ⋅ [0, 5, 7, 4]",89,0,36
280,"[9, 5, 2, 4] ⋅ [8, 9, 4, 6]",149,72,24
281,"[4, 1, 8, 4] ⋅ [3, 7, 3, 7]",71,12,28
282,"[1, 5, 4, 1] ⋅ [8, 4, 1, 3]",35,8,3
283,"[4, 0, 6, 9] ⋅ [7, 8, 3, 2]",64,28,18
284,"[0, 8, 5, 8] ⋅ [3, 1, 6, 9]",110,0,72
285,"[0, 2, 1, 3] ⋅ [5, 7, 4, 9]",45,0,27
286,"[4, 8, 7, 0] ⋅ [7, 3, 7, 2]",101,28,0
287,"[7, 9, 1, 5] ⋅ [8, 3, 2, 5]",110,56,25
288,"[8, 1, 8, 9] ⋅ [9, 1, 0, 5]",118,72,45
289,"[4, 0, 9, 8] ⋅ [0, 7, 1, 9]",81,0,72
290,"[6, 7, 2, 2] ⋅ [9, 0, 4, 7]",76,54,14
291,"[4, 6, 9, 9] ⋅ [4, 6, 9, 5]",178,16,45
292,"[3, 0, 4, 2] ⋅ [8, 6, 5, 9]",62,24,18
293,"[1, 8, 0, 2] ⋅ [2, 4, 4, 8]",50,2,16
294,"[1, 6, 8, 0] ⋅ [8, 9, 2, 5]",78,8,0
295,"[3, 0, 5, 5] ⋅ [8, 8, 8, 3]",79,24,15
296,"[6, 3, 1, 3] ⋅ [5, 5, 6, 0]",51,30,0
297,"[1, 7, 7, 1] ⋅ [9, 2, 0, 2]",25,9,2
298,"[3, 7, 1, 7] ⋅ [1, 0, 3, 1]",13,3,7
299,"[1, 7, 8, 8] ⋅ [0, 5, 0, 4]",67,0,32
300,"[6, 1, 2, 3] ⋅ [9, 8, 7, 1]",79,54,3
301,"[0, 0, 7, 7] ⋅ [9, 1, 7, 6]",91,0,42
302,"[3, 6, 0, 4] ⋅ [9, 6, 9, 4]",79,27,16
303,"[5, 7, 1, 0] ⋅ [5, 2, 9, 4]",48,25,0
304,"[2, 3, 0, 8] ⋅ [7, 4, 2, 6]",74,14,48
305,"[5, 3, 0, 9] ⋅ [2, 0, 9, 4]",46,10,36
306,"[3, 1, 9, 6] ⋅ [5, 5, 4, 3]",74,15,18
307,"[5, 5, 7, 7] ⋅ [4, 3, 3, 4]",84,20,28
308,"[3, 6, 0, 0] ⋅ [7, 8, 0, 2]",69,21,0
309,"[8, 4, 8, 3] ⋅ [5, 2, 9, 6]",138,40,18
310,"[3, 2, 0, 9] ⋅ [0, 5, 6, 9]",91,0,81
311,"[2, 5, 7, 2] ⋅ [9, 6, 9, 9]",129,18,18
312,"[2, 2, 9, 0] ⋅ [5, 0, 5, 7]",55,10,0
313,"[5, 3, 7, 4] ⋅ [1, 1, 8, 9]",100,5,36
314,"[9, 1, 2, 4] ⋅ [9, 5, 8, 1]",106,81,4
315,"[2, 9, 5, 4] ⋅ [9, 6, 6, 6]",126,18,24
316,"[9, 8, 4, 9] ⋅ [3, 0, 8, 1]",68,27,9
317,"[8, 0, 7, 7] ⋅ [5, 8, 4, 6]",110,40,42
318,"[3, 2, 6, 2] ⋅ [3, 2, 3, 3]",37,9,6
319,"[2, 6, 1, 0] ⋅ [5, 6, 7, 4]",53,10,0
320,"[7, 5, 2, 1] ⋅ [1, 3, 4, 1]",31,7,1
321,"[2, 9, 3, 2] ⋅ [5, 9, 9, 3]",124,10,6
322,"[3, 3, 6, 7] ⋅ [4, 7, 4, 4]",85,12,28
323,"[7, 6, 4, 4] ⋅ [7, 8, 9, 5]",153,49,20
324,"[4, 0, 5, 5] ⋅ [3, 0, 3, 1]",32,12,5
325,"[9, 5, 6, 3] ⋅ [7, 9, 0, 5]",123,63,15
326,"[2, 1, 9, 5] ⋅ [9, 6, 6, 7]",113,18,35
327,"[0, 2, 4, 0] ⋅ [6, 0, 4, 7]",16,0,0
328,"[3, 6, 9, 5] ⋅ [9, 6, 8, 7]",170,27,35
329,"[8, 1, 4, 4] ⋅ [5, 0, 9, 0]",76,40,0
330,"[5, 1, 2, 0] ⋅ [8, 9, 6, 9]",61,40,0
331,"[6, 5, 4, 3] ⋅ [7, 1, 9, 6]",101,42,18
332,"[1, 0, 8, 1] ⋅ [2, 5, 0, 6]",8,2,6
333,"[9, 0, 5, 3] ⋅ [5, 7, 3, 3]",69,45,9
334,"[5, 9, 2, 7] ⋅ [9, 4, 0, 3]",102,45,21
335,"[8, 9, 0, 1] ⋅ [3, 4, 6, 4]",64,24,4
336,"[8, 5, 8, 9] ⋅ [7, 7, 8, 8]",227,56,72
337,"[3, 7, 2, 7] ⋅ [7, 9, 8, 7]",149,21,49
338,"[2, 6, 9, 5] ⋅ [3, 7, 6, 1]",107,6,5
339,"[6, 0, 7, 1] ⋅ [6, 9, 5, 7]",78,36,7
340,"[6, 1, 5, 4] ⋅ [8, 9, 7, 9]",128,48,36
341,"[3, 9, 1, 1] ⋅ [3, 6, 9, 8]",80,9,8
342,"[2, 3, 9, 7] ⋅ [9, 8, 9, 3]",144,18,21
343,"[6, 9, 3, 4] ⋅ [5, 9, 2, 1]",121,30,4
344,"[2, 3, 0, 1] ⋅ [2, 2, 5, 0]",10,4,0
345,"[3, 6, 3, 9] ⋅ [7, 1, 3, 3]",63,21,27
346,"[3, 1, 2, 6] ⋅ [7, 1, 7, 6]",72,21,36
347,"[0, 3, 1, 2] ⋅ [7, 6, 8, 6]",38,0,12
348,"[0, 3, 9, 1] ⋅ [2, 8, 4, 5]",65,0,5
349,"[0, 9, 0, 5] ⋅ [9, 8, 0, 7]",107,0,35
350,"[4, 2, 6, 1] ⋅ [3, 2, 6, 2]",54,12,2
351,"[3, 5, 2, 0] ⋅ [9, 5, 8, 2]",68,27,0
352,"[1, 1, 9, 9] ⋅ [5, 3, 8, 4]",116,5,36
353,"[2, 1, 9, 3] ⋅ [6, 3, 9, 3]",105,12,9
354,"[2, 7, 4, 1] ⋅ [9, 8, 4, 4]",94,18,4
355,"[4, 0, 0, 1] ⋅ [8, 3, 4, 0]",32,32,0
356,"[0, 6, 8, 7] ⋅ [1, 2, 8, 4]",104,0,28
