,problem,correct_solution,intermediate_1,intermediate_2
270,((55+86)+(54+56)),251,141,110
271,((92+16)+(69+45)),222,108,114
272,((54+11)+(26+77)),168,65,103
273,((34+64)+(13+73)),184,98,86
274,((54+13)+(54+48)),169,67,102
275,((98+11)+(86+42)),237,109,128
276,((99+64)+(40+10)),213,163,50
277,((14+38)+(76+78)),206,52,154
278,((93+11)+(35+88)),227,104,123
279,((40+33)+(85+61)),219,73,146
280,((59+78)+(93+81)),311,137,174
281,((81+12)+(15+27)),135,93,42
282,((20+28)+(71+65)),184,48,136
283,((85+83)+(92+14)),274,168,106
284,((99+79)+(18+15)),211,178,33
285,((74+53)+(42+57)),226,127,99
286,((47+24)+(21+96)),188,71,117
287,((30+96)+(31+73)),230,126,104
288,((63+96)+(24+30)),213,159,54
289,((70+78)+(62+55)),265,148,117
290,((25+56)+(97+10)),188,81,107
291,((28+78)+(67+96)),269,106,163
292,((80+57)+(26+35)),198,137,61
293,((28+20)+(33+48)),129,48,81
294,((77+56)+(89+72)),294,133,161
295,((22+53)+(77+68)),220,75,145
296,((13+15)+(77+38)),143,28,115
297,((59+40)+(31+92)),222,99,123
298,((99+10)+(22+27)),158,109,49
299,((26+55)+(54+95)),230,81,149
300,((75+74)+(56+65)),270,149,121
301,((68+88)+(23+24)),203,156,47
302,((43+40)+(27+94)),204,83,121
303,((80+38)+(35+51)),204,118,86
304,((49+71)+(61+18)),199,120,79
305,((72+66)+(78+65)),281,138,143
306,((85+32)+(38+56)),211,117,94
307,((89+56)+(29+15)),189,145,44
308,((24+68)+(37+22)),151,92,59
309,((13+32)+(60+15)),120,45,75
310,((78+27)+(57+74)),236,105,131
311,((25+78)+(57+79)),239,103,136
312,((77+44)+(67+21)),209,121,88
313,((83+78)+(71+58)),290,161,129
314,((96+41)+(90+67)),294,137,157
315,((87+68)+(19+67)),241,155,86
316,((83+20)+(41+76)),220,103,117
317,((17+68)+(97+35)),217,85,132
318,((60+83)+(55+22)),220,143,77
319,((80+25)+(14+49)),168,105,63
320,((51+63)+(32+73)),219,114,105
321,((62+67)+(52+25)),206,129,77
322,((54+52)+(18+27)),151,106,45
323,((99+62)+(10+57)),228,161,67
324,((77+77)+(34+13)),201,154,47
325,((43+50)+(73+88)),254,93,161
326,((66+24)+(77+43)),210,90,120
327,((13+15)+(53+80)),161,28,133
328,((92+95)+(78+45)),310,187,123
329,((17+59)+(66+63)),205,76,129
330,((98+40)+(58+36)),232,138,94
331,((94+62)+(95+13)),264,156,108
332,((60+27)+(36+39)),162,87,75
333,((35+91)+(29+41)),196,126,70
334,((36+60)+(65+22)),183,96,87
335,((18+88)+(51+20)),177,106,71
336,((66+33)+(96+63)),258,99,159
337,((82+99)+(31+41)),253,181,72
338,((49+84)+(37+23)),193,133,60
339,((96+72)+(50+33)),251,168,83
340,((55+58)+(55+13)),181,113,68
341,((17+44)+(12+33)),106,61,45
342,((14+84)+(77+32)),207,98,109
343,((54+34)+(86+67)),241,88,153
344,((43+63)+(96+89)),291,106,185
345,((48+22)+(47+78)),195,70,125
346,((61+89)+(28+93)),271,150,121
347,((45+65)+(28+73)),211,110,101
348,((30+46)+(86+99)),261,76,185
349,((84+56)+(66+67)),273,140,133
350,((13+47)+(50+18)),128,60,68
351,((72+67)+(19+76)),234,139,95
352,((11+92)+(27+20)),150,103,47
353,((18+33)+(43+49)),143,51,92
354,((59+56)+(35+56)),206,115,91
355,((17+68)+(81+69)),235,85,150
356,((84+66)+(51+50)),251,150,101
357,((78+79)+(45+22)),224,157,67
358,((96+39)+(73+50)),258,135,123
359,((59+64)+(42+79)),244,123,121
360,((81+67)+(18+57)),223,148,75
361,((97+72)+(25+56)),250,169,81
362,((74+16)+(94+75)),259,90,169
363,((22+15)+(85+45)),167,37,130
364,((99+51)+(42+40)),232,150,82
365,((63+42)+(83+28)),216,105,111
366,((40+95)+(24+45)),204,135,69
367,((77+50)+(68+70)),265,127,138
368,((65+76)+(16+89)),246,141,105
369,((88+52)+(71+13)),224,140,84
370,((82+73)+(46+79)),280,155,125
371,((81+10)+(66+36)),193,91,102
372,((66+24)+(20+48)),158,90,68
373,((42+29)+(54+96)),221,71,150
374,((55+14)+(13+38)),120,69,51
375,((64+53)+(65+39)),221,117,104
376,((24+94)+(73+73)),264,118,146
377,((80+29)+(40+75)),224,109,115
378,((71+46)+(64+38)),219,117,102
379,((23+74)+(51+48)),196,97,99
380,((85+76)+(24+19)),204,161,43
381,((78+43)+(61+71)),253,121,132
382,((33+39)+(81+83)),236,72,164
383,((15+19)+(82+77)),193,34,159
384,((12+44)+(71+83)),210,56,154
385,((40+11)+(44+25)),120,51,69
386,((63+33)+(16+19)),131,96,35
387,((10+94)+(20+21)),145,104,41
388,((98+39)+(82+73)),292,137,155
389,((56+13)+(57+96)),222,69,153
390,((87+92)+(44+46)),269,179,90
391,((49+43)+(90+30)),212,92,120
392,((13+56)+(52+81)),202,69,133
393,((88+71)+(96+89)),344,159,185
394,((43+85)+(15+60)),203,128,75
395,((49+88)+(96+88)),321,137,184
396,((32+37)+(53+79)),201,69,132
397,((71+32)+(78+66)),247,103,144
398,((45+10)+(95+10)),160,55,105
399,((82+92)+(30+48)),252,174,78
400,((75+79)+(63+23)),240,154,86
401,((96+58)+(65+63)),282,154,128
402,((76+44)+(78+40)),238,120,118
403,((87+63)+(83+47)),280,150,130
404,((63+87)+(23+63)),236,150,86
405,((86+34)+(18+91)),229,120,109
406,((14+87)+(43+27)),171,101,70
407,((45+23)+(89+20)),177,68,109
408,((89+81)+(54+37)),261,170,91
409,((86+65)+(84+87)),322,151,171
410,((16+91)+(36+38)),181,107,74
411,((94+15)+(87+57)),253,109,144
412,((75+65)+(47+45)),232,140,92
413,((47+41)+(84+52)),224,88,136
414,((81+83)+(86+63)),313,164,149
415,((92+41)+(46+91)),270,133,137
416,((91+37)+(22+61)),211,128,83
417,((79+41)+(67+87)),274,120,154
418,((61+30)+(72+28)),191,91,100
419,((62+25)+(26+70)),183,87,96
420,((53+40)+(87+61)),241,93,148
421,((20+69)+(34+89)),212,89,123
422,((47+13)+(58+18)),136,60,76
423,((21+42)+(39+47)),149,63,86
424,((51+58)+(15+89)),213,109,104
425,((95+61)+(14+62)),232,156,76
426,((15+75)+(95+67)),252,90,162
427,((41+52)+(90+41)),224,93,131
428,((71+88)+(15+58)),232,159,73
429,((26+54)+(53+91)),224,80,144
430,((44+45)+(35+75)),199,89,110
431,((99+44)+(32+57)),232,143,89
432,((98+49)+(30+61)),238,147,91
433,((62+27)+(86+32)),207,89,118
434,((32+79)+(81+33)),225,111,114
435,((48+24)+(16+98)),186,72,114
436,((98+23)+(96+62)),279,121,158
437,((71+13)+(66+64)),214,84,130
438,((89+58)+(60+89)),296,147,149
439,((63+49)+(76+80)),268,112,156
440,((16+69)+(68+71)),224,85,139
441,((71+56)+(21+60)),208,127,81
442,((71+82)+(68+13)),234,153,81
443,((77+81)+(46+83)),287,158,129
444,((36+98)+(94+22)),250,134,116
445,((77+38)+(34+41)),190,115,75
446,((55+27)+(32+19)),133,82,51
447,((22+21)+(23+98)),164,43,121
448,((93+87)+(37+36)),253,180,73
449,((28+84)+(83+69)),264,112,152
450,((43+98)+(94+32)),267,141,126
451,((39+36)+(44+57)),176,75,101
452,((88+68)+(94+56)),306,156,150
453,((79+15)+(45+66)),205,94,111
454,((49+90)+(53+83)),275,139,136
455,((65+59)+(59+63)),246,124,122
456,((86+87)+(24+51)),248,173,75
457,((12+78)+(80+92)),262,90,172
458,((40+76)+(13+82)),211,116,95
459,((63+55)+(23+89)),230,118,112
460,((17+23)+(62+48)),150,40,110
461,((93+53)+(17+31)),194,146,48
462,((63+99)+(51+17)),230,162,68
463,((13+24)+(27+61)),125,37,88
464,((16+57)+(14+77)),164,73,91
465,((37+35)+(62+62)),196,72,124
466,((68+80)+(93+48)),289,148,141
467,((59+64)+(41+15)),179,123,56
468,((86+88)+(82+57)),313,174,139
469,((33+37)+(86+83)),239,70,169
470,((51+31)+(84+23)),189,82,107
471,((95+35)+(30+69)),229,130,99
472,((36+76)+(49+83)),244,112,132
473,((59+88)+(49+72)),268,147,121
474,((22+10)+(18+88)),138,32,106
475,((11+14)+(40+92)),157,25,132
476,((29+52)+(32+38)),151,81,70
477,((46+80)+(31+36)),193,126,67
478,((90+14)+(31+82)),217,104,113
479,((79+51)+(99+42)),271,130,141
480,((64+51)+(49+43)),207,115,92
481,((95+45)+(22+88)),250,140,110
482,((82+63)+(33+83)),261,145,116
483,((68+14)+(68+21)),171,82,89
484,((42+95)+(81+27)),245,137,108
485,((21+52)+(21+69)),163,73,90
486,((88+65)+(53+20)),226,153,73
487,((64+27)+(12+34)),137,91,46
488,((99+92)+(58+22)),271,191,80
489,((53+50)+(17+58)),178,103,75
490,((44+92)+(56+93)),285,136,149
491,((91+62)+(53+27)),233,153,80
492,((16+14)+(80+23)),133,30,103
493,((67+20)+(60+49)),196,87,109
494,((15+69)+(42+91)),217,84,133
495,((61+26)+(47+46)),180,87,93
496,((11+45)+(61+23)),140,56,84
497,((28+29)+(77+58)),192,57,135
498,((92+57)+(61+80)),290,149,141
499,((79+87)+(60+66)),292,166,126
500,((46+72)+(81+79)),278,118,160
501,((21+56)+(22+92)),191,77,114
502,((64+35)+(90+64)),253,99,154
503,((22+31)+(51+99)),203,53,150
504,((15+91)+(96+91)),293,106,187
505,((35+76)+(84+25)),220,111,109
506,((50+30)+(46+83)),209,80,129
507,((14+42)+(11+32)),99,56,43
508,((75+79)+(97+17)),268,154,114
509,((81+86)+(32+70)),269,167,102
510,((41+50)+(54+49)),194,91,103
511,((61+18)+(81+71)),231,79,152
512,((54+98)+(30+72)),254,152,102
513,((13+59)+(14+11)),97,72,25
514,((41+31)+(52+17)),141,72,69
515,((65+10)+(96+21)),192,75,117
516,((40+51)+(84+64)),239,91,148
517,((99+31)+(40+63)),233,130,103
518,((39+36)+(84+42)),201,75,126
519,((70+13)+(10+72)),165,83,82
520,((74+84)+(75+54)),287,158,129
521,((75+19)+(73+40)),207,94,113
522,((39+12)+(91+40)),182,51,131
523,((79+57)+(60+18)),214,136,78
524,((86+84)+(45+28)),243,170,73
525,((88+83)+(79+83)),333,171,162
526,((47+74)+(76+80)),277,121,156
527,((45+12)+(36+97)),190,57,133
528,((43+17)+(64+32)),156,60,96
529,((78+64)+(44+55)),241,142,99
530,((85+91)+(18+51)),245,176,69
531,((52+48)+(92+25)),217,100,117
532,((37+17)+(75+99)),228,54,174
533,((71+62)+(39+60)),232,133,99
534,((72+52)+(38+45)),207,124,83
535,((62+83)+(89+42)),276,145,131
536,((18+12)+(83+99)),212,30,182
537,((59+70)+(31+45)),205,129,76
538,((42+89)+(65+93)),289,131,158
539,((44+36)+(76+15)),171,80,91
540,((55+70)+(68+46)),239,125,114
541,((55+50)+(59+86)),250,105,145
542,((83+98)+(96+66)),343,181,162
543,((87+96)+(33+57)),273,183,90
544,((60+87)+(11+97)),255,147,108
545,((24+88)+(62+35)),209,112,97
546,((13+57)+(96+56)),222,70,152
547,((45+19)+(72+86)),222,64,158
548,((96+52)+(27+35)),210,148,62
549,((55+95)+(24+87)),261,150,111
550,((71+13)+(16+44)),144,84,60
551,((41+68)+(84+19)),212,109,103
552,((91+77)+(96+43)),307,168,139
553,((81+65)+(20+20)),186,146,40
554,((77+60)+(72+38)),247,137,110
555,((69+47)+(47+90)),253,116,137
556,((84+90)+(31+79)),284,174,110
557,((86+92)+(44+77)),299,178,121
558,((26+70)+(24+97)),217,96,121
559,((72+87)+(16+29)),204,159,45
560,((32+99)+(91+28)),250,131,119
561,((40+90)+(53+31)),214,130,84
562,((95+42)+(19+98)),254,137,117
563,((20+78)+(94+94)),286,98,188
564,((73+28)+(88+72)),261,101,160
565,((81+14)+(44+90)),229,95,134
566,((10+46)+(55+68)),179,56,123
567,((59+35)+(69+33)),196,94,102
568,((46+83)+(85+64)),278,129,149
569,((46+46)+(16+86)),194,92,102
570,((97+80)+(15+90)),282,177,105
571,((23+25)+(66+94)),208,48,160
572,((90+76)+(78+74)),318,166,152
573,((80+80)+(35+81)),276,160,116
574,((65+42)+(87+21)),215,107,108
575,((34+57)+(42+25)),158,91,67
576,((97+25)+(75+94)),291,122,169
577,((71+96)+(73+83)),323,167,156
578,((58+75)+(90+63)),286,133,153
579,((29+62)+(85+34)),210,91,119
580,((60+14)+(99+59)),232,74,158
581,((72+30)+(92+51)),245,102,143
582,((16+75)+(61+81)),233,91,142
583,((98+28)+(85+99)),310,126,184
584,((16+39)+(16+16)),87,55,32
585,((11+25)+(65+22)),123,36,87
586,((60+76)+(28+41)),205,136,69
587,((47+67)+(13+15)),142,114,28
588,((61+84)+(67+90)),302,145,157
589,((46+12)+(73+33)),164,58,106
590,((73+16)+(51+30)),170,89,81
591,((10+89)+(47+89)),235,99,136
592,((23+58)+(66+83)),230,81,149
593,((79+74)+(13+53)),219,153,66
594,((84+33)+(33+21)),171,117,54
595,((12+11)+(77+55)),155,23,132
596,((84+31)+(67+98)),280,115,165
597,((75+77)+(66+78)),296,152,144
598,((41+52)+(38+16)),147,93,54
599,((24+47)+(45+13)),129,71,58
600,((68+78)+(93+99)),338,146,192
601,((22+30)+(13+57)),122,52,70
602,((26+23)+(73+92)),214,49,165
603,((45+12)+(70+74)),201,57,144
604,((41+49)+(99+38)),227,90,137
605,((63+93)+(53+68)),277,156,121
606,((31+82)+(89+34)),236,113,123
607,((64+52)+(69+48)),233,116,117
608,((75+16)+(39+33)),163,91,72
609,((20+72)+(68+50)),210,92,118
610,((52+80)+(16+40)),188,132,56
611,((75+23)+(34+30)),162,98,64
612,((74+31)+(22+81)),208,105,103
613,((76+99)+(21+96)),292,175,117
614,((87+50)+(18+50)),205,137,68
615,((87+80)+(22+38)),227,167,60
616,((51+71)+(26+23)),171,122,49
617,((78+92)+(40+19)),229,170,59
618,((94+16)+(65+28)),203,110,93
619,((88+89)+(76+84)),337,177,160
620,((20+78)+(13+96)),207,98,109
621,((96+38)+(83+96)),313,134,179
622,((73+70)+(10+92)),245,143,102
623,((84+30)+(24+24)),162,114,48
624,((61+53)+(43+62)),219,114,105
625,((65+12)+(46+31)),154,77,77
626,((40+35)+(27+32)),134,75,59
627,((55+59)+(82+64)),260,114,146
628,((52+40)+(68+55)),215,92,123
629,((77+11)+(24+84)),196,88,108
630,((61+41)+(21+97)),220,102,118
631,((95+93)+(44+46)),278,188,90
632,((29+58)+(43+31)),161,87,74
633,((33+10)+(34+85)),162,43,119
634,((31+86)+(82+99)),298,117,181
635,((53+29)+(62+69)),213,82,131
636,((31+40)+(12+96)),179,71,108
637,((67+80)+(74+47)),268,147,121
638,((77+96)+(89+85)),347,173,174
639,((54+15)+(83+21)),173,69,104
640,((23+44)+(79+38)),184,67,117
641,((36+45)+(68+10)),159,81,78
642,((92+45)+(24+27)),188,137,51
643,((70+10)+(66+36)),182,80,102
644,((23+96)+(93+36)),248,119,129
645,((59+88)+(42+97)),286,147,139
646,((73+87)+(33+86)),279,160,119
647,((35+95)+(64+15)),209,130,79
648,((98+26)+(42+63)),229,124,105
649,((13+43)+(70+45)),171,56,115
650,((74+17)+(60+36)),187,91,96
651,((25+43)+(39+12)),119,68,51
652,((18+61)+(25+43)),147,79,68
653,((20+72)+(68+32)),192,92,100
654,((98+89)+(11+23)),221,187,34
655,((47+73)+(36+85)),241,120,121
656,((60+73)+(52+40)),225,133,92
657,((48+67)+(30+27)),172,115,57
658,((93+30)+(99+16)),238,123,115
659,((71+22)+(11+82)),186,93,93
660,((24+92)+(72+53)),241,116,125
661,((99+49)+(80+47)),275,148,127
662,((63+82)+(75+38)),258,145,113
663,((20+16)+(81+95)),212,36,176
664,((95+55)+(84+64)),298,150,148
665,((48+16)+(96+96)),256,64,192
666,((98+55)+(30+48)),231,153,78
667,((10+24)+(67+79)),180,34,146
668,((72+26)+(64+32)),194,98,96
669,((61+35)+(91+70)),257,96,161
670,((35+39)+(64+75)),213,74,139
671,((52+39)+(13+99)),203,91,112
672,((62+67)+(59+55)),243,129,114
673,((91+84)+(82+66)),323,175,148
674,((65+75)+(82+86)),308,140,168
675,((31+97)+(66+36)),230,128,102
676,((73+20)+(60+45)),198,93,105
677,((81+67)+(90+47)),285,148,137
678,((44+82)+(68+88)),282,126,156
679,((94+37)+(32+52)),215,131,84
680,((35+69)+(72+79)),255,104,151
681,((55+23)+(47+49)),174,78,96
682,((71+43)+(24+28)),166,114,52
683,((50+46)+(55+68)),219,96,123
684,((34+93)+(95+52)),274,127,147
685,((57+78)+(26+68)),229,135,94
686,((61+14)+(56+90)),221,75,146
687,((39+80)+(62+45)),226,119,107
688,((65+78)+(53+49)),245,143,102
689,((99+53)+(85+29)),266,152,114
690,((79+77)+(13+27)),196,156,40
691,((12+39)+(21+40)),112,51,61
692,((49+32)+(49+70)),200,81,119
693,((31+89)+(30+90)),240,120,120
694,((94+19)+(10+65)),188,113,75
695,((37+66)+(52+37)),192,103,89
696,((69+29)+(40+40)),178,98,80
