,problem,correct_solution,intermediate_1,intermediate_2
45,"[5, -7, -4] ⋅ [9, 2, 9]",-5,45,-36
46,"[-9, -4, 5] ⋅ [3, 3, -2]",-49,-27,-10
47,"[-5, -6, 2] ⋅ [3, -9, -1]",37,-15,-2
48,"[4, -7, 1] ⋅ [-1, -4, -6]",18,-4,-6
49,"[-3, 1, -7] ⋅ [7, 2, -8]",37,-21,56
50,"[-8, 4, 4] ⋅ [0, 8, -1]",28,0,-4
51,"[-8, 3, 5] ⋅ [-8, 1, -8]",27,64,-40
52,"[-10, -3, 8] ⋅ [-5, 9, -9]",-49,50,-72
53,"[4, -2, 0] ⋅ [-5, 7, -9]",-34,-20,0
54,"[0, 0, -5] ⋅ [1, -1, 3]",-15,0,-15
55,"[-6, 1, 0] ⋅ [-1, 3, -1]",9,6,0
56,"[9, 1, 1] ⋅ [7, -3, -6]",54,63,-6
57,"[-2, -8, -6] ⋅ [7, -10, -6]",102,-14,36
58,"[-3, 6, 8] ⋅ [1, 2, -2]",-7,-3,-16
59,"[-2, 7, -6] ⋅ [-10, 4, -2]",60,20,12
60,"[5, -1, -7] ⋅ [-5, 7, 0]",-32,-25,0
61,"[-7, 6, -10] ⋅ [1, 9, -4]",87,-7,40
62,"[-4, 3, 4] ⋅ [6, 3, 2]",-7,-24,8
63,"[-7, -10, -10] ⋅ [5, -1, -6]",35,-35,60
64,"[8, 3, -2] ⋅ [-5, 3, 1]",-33,-40,-2
65,"[-3, 6, -10] ⋅ [6, -10, -9]",12,-18,90
66,"[-3, 1, -4] ⋅ [-7, -9, -4]",28,21,16
67,"[-9, 3, -8] ⋅ [3, 6, -9]",63,-27,72
68,"[0, -1, 9] ⋅ [-2, -1, 3]",28,0,27
69,"[-2, -5, 3] ⋅ [-1, 5, 9]",4,2,27
70,"[-10, -9, 8] ⋅ [2, 2, 7]",18,-20,56
71,"[5, -10, -2] ⋅ [3, 9, -8]",-59,15,16
72,"[-5, -6, -9] ⋅ [6, 1, 2]",-54,-30,-18
73,"[-5, 3, 4] ⋅ [6, 5, 9]",21,-30,36
74,"[-9, 7, -6] ⋅ [-10, 4, -4]",142,90,24
75,"[-4, -9, 3] ⋅ [5, -6, -10]",4,-20,-30
76,"[-6, -8, 0] ⋅ [-10, 5, 6]",20,60,0
77,"[-1, 7, -1] ⋅ [9, 8, 3]",44,-9,-3
78,"[8, -9, -7] ⋅ [4, 6, -8]",34,32,56
79,"[8, 4, -1] ⋅ [5, 5, -8]",68,40,8
80,"[-5, -3, -9] ⋅ [9, 7, -5]",-21,-45,45
81,"[-1, 8, 5] ⋅ [-4, 1, 0]",12,4,0
82,"[4, 7, -7] ⋅ [1, 4, -7]",81,4,49
83,"[-7, -7, 5] ⋅ [-6, 5, 3]",22,42,15
84,"[-9, -9, -4] ⋅ [2, 9, -8]",-67,-18,32
85,"[-8, 2, -8] ⋅ [3, -8, -9]",32,-24,72
86,"[-8, 1, -1] ⋅ [-3, 8, 5]",27,24,-5
87,"[-7, 3, -1] ⋅ [1, 6, -4]",15,-7,4
88,"[-4, -10, 9] ⋅ [-5, 8, -6]",-114,20,-54
89,"[-5, 2, 2] ⋅ [4, 6, 2]",-4,-20,4
90,"[-4, -7, 2] ⋅ [-1, 3, -6]",-29,4,-12
91,"[-6, 3, -5] ⋅ [-9, 2, 4]",40,54,-20
92,"[-8, 9, -4] ⋅ [-6, 0, 2]",40,48,-8
93,"[-6, 6, 4] ⋅ [-8, -7, 0]",6,48,0
94,"[7, -3, 4] ⋅ [-2, 5, 4]",-13,-14,16
95,"[5, -9, 8] ⋅ [6, -5, -9]",3,30,-72
96,"[-9, -10, 9] ⋅ [7, -10, 7]",100,-63,63
97,"[8, -6, -3] ⋅ [5, 9, 2]",-20,40,-6
98,"[8, -9, 2] ⋅ [-10, 1, -2]",-93,-80,-4
99,"[2, 3, 8] ⋅ [-8, -4, 5]",12,-16,40
100,"[5, 1, 4] ⋅ [2, -8, 9]",38,10,36
101,"[7, 8, -4] ⋅ [9, 4, 3]",83,63,-12
102,"[3, -9, 6] ⋅ [3, 4, 8]",21,9,48
103,"[9, 9, 4] ⋅ [0, 9, -4]",65,0,-16
104,"[-2, 9, -3] ⋅ [-8, -8, 9]",-83,16,-27
105,"[-1, 6, -9] ⋅ [-10, -5, 1]",-29,10,-9
106,"[-3, 7, 6] ⋅ [0, -8, 0]",-56,0,0
107,"[6, -9, 5] ⋅ [5, 9, 0]",-51,30,0
108,"[9, -1, -9] ⋅ [1, 4, -5]",50,9,45
109,"[-1, 1, -1] ⋅ [5, -2, 3]",-10,-5,-3
110,"[-1, 6, 7] ⋅ [-4, 2, 2]",30,4,14
111,"[-4, 1, -10] ⋅ [-7, -1, 4]",-13,28,-40
112,"[8, 3, -5] ⋅ [-2, 9, 3]",-4,-16,-15
113,"[4, -10, 9] ⋅ [1, -10, 2]",122,4,18
114,"[-3, 7, 8] ⋅ [0, 3, 8]",85,0,64
115,"[-3, -1, -2] ⋅ [-1, -9, 4]",4,3,-8
116,"[-5, -8, -5] ⋅ [2, -2, -8]",46,-10,40
117,"[7, 7, -1] ⋅ [2, 4, -5]",47,14,5
118,"[0, 3, -2] ⋅ [2, -1, 4]",-11,0,-8
119,"[0, 3, 6] ⋅ [0, -10, 8]",18,0,48
120,"[3, 9, 4] ⋅ [-5, 7, 2]",56,-15,8
121,"[3, -7, -8] ⋅ [8, 0, -6]",72,24,48
122,"[-6, -9, -9] ⋅ [2, 9, -2]",-75,-12,18
123,"[9, 7, 0] ⋅ [-4, 1, -8]",-29,-36,0
124,"[9, -2, -6] ⋅ [-1, 8, 6]",-61,-9,-36
125,"[2, -8, -5] ⋅ [-6, 2, 0]",-28,-12,0
126,"[-1, -2, -7] ⋅ [6, 5, -10]",54,-6,70
127,"[6, -9, -6] ⋅ [-8, 4, 0]",-84,-48,0
128,"[4, -1, 7] ⋅ [7, 0, 5]",63,28,35
129,"[5, 9, -9] ⋅ [5, -3, -5]",43,25,45
130,"[-7, -9, -9] ⋅ [-2, -1, -10]",113,14,90
131,"[9, 7, 7] ⋅ [-4, 4, 3]",13,-36,21
132,"[-4, -4, -1] ⋅ [7, -2, -9]",-11,-28,9
133,"[7, 6, 8] ⋅ [-3, 0, -2]",-37,-21,-16
134,"[-3, -8, -7] ⋅ [-9, -7, -5]",118,27,35
135,"[-4, -1, 3] ⋅ [-4, 2, -8]",-10,16,-24
136,"[-2, -4, 7] ⋅ [8, -6, 7]",57,-16,49
137,"[6, 7, -3] ⋅ [6, 0, -3]",45,36,9
138,"[-3, -10, 7] ⋅ [-5, 4, 5]",10,15,35
139,"[-2, -10, 9] ⋅ [8, -7, -7]",-9,-16,-63
140,"[6, 2, -5] ⋅ [-6, 1, 3]",-49,-36,-15
141,"[-2, -10, 1] ⋅ [-10, -8, -9]",91,20,-9
142,"[7, -3, -10] ⋅ [-4, -8, 8]",-84,-28,-80
143,"[-9, 7, -4] ⋅ [-8, -10, -8]",34,72,32
144,"[-6, -7, -10] ⋅ [-2, 8, -3]",-14,12,30
145,"[7, -7, -6] ⋅ [-1, 3, 7]",-70,-7,-42
146,"[-6, -6, -8] ⋅ [-4, -7, 3]",42,24,-24
147,"[-2, 0, -6] ⋅ [8, 8, -6]",20,-16,36
148,"[-8, 1, 8] ⋅ [6, 4, -2]",-60,-48,-16
149,"[-4, -2, 4] ⋅ [6, -9, -5]",-26,-24,-20
150,"[7, 7, 6] ⋅ [-7, 1, -9]",-96,-49,-54
151,"[-6, 4, -3] ⋅ [-9, -1, -10]",80,54,30
152,"[3, -10, -1] ⋅ [3, 3, -2]",-19,9,2
153,"[-1, 4, -4] ⋅ [4, -5, -1]",-20,-4,4
154,"[7, -4, -7] ⋅ [0, 2, -3]",13,0,21
155,"[5, -8, 5] ⋅ [2, -5, 3]",65,10,15
156,"[-9, 7, 0] ⋅ [-3, -8, -9]",-29,27,0
157,"[1, 2, 2] ⋅ [4, 0, -4]",-4,4,-8
158,"[9, -6, 7] ⋅ [7, -6, 4]",127,63,28
159,"[4, -7, -6] ⋅ [1, -9, -5]",97,4,30
160,"[8, -5, 9] ⋅ [-3, 9, -5]",-114,-24,-45
161,"[-4, 0, -4] ⋅ [-6, 9, 5]",4,24,-20
162,"[3, -4, 7] ⋅ [6, -5, 0]",38,18,0
163,"[0, 1, -6] ⋅ [7, -6, 2]",-18,0,-12
164,"[-1, 0, -10] ⋅ [-10, 3, -5]",60,10,50
165,"[-10, -10, 9] ⋅ [-8, 2, -6]",6,80,-54
166,"[-2, 5, -3] ⋅ [-5, -5, -3]",-6,10,9
167,"[5, -1, 8] ⋅ [-6, 1, 0]",-31,-30,0
168,"[-5, -3, -3] ⋅ [8, 0, -2]",-34,-40,6
169,"[4, -3, 1] ⋅ [5, -8, -5]",39,20,-5
170,"[-5, 4, -3] ⋅ [7, 5, 3]",-24,-35,-9
171,"[1, 4, -3] ⋅ [6, 8, -3]",47,6,9
172,"[-8, 5, 1] ⋅ [-4, 4, -5]",47,32,-5
173,"[2, 5, -5] ⋅ [3, 6, 1]",31,6,-5
174,"[-8, -1, 7] ⋅ [7, -6, -7]",-99,-56,-49
175,"[1, -9, 0] ⋅ [1, 5, -2]",-44,1,0
176,"[1, 3, -9] ⋅ [-3, 4, 7]",-54,-3,-63
177,"[-4, 6, -6] ⋅ [-7, -9, 0]",-26,28,0
178,"[-8, 0, -10] ⋅ [7, -10, -8]",24,-56,80
179,"[-5, 7, -1] ⋅ [-10, 7, 8]",91,50,-8
180,"[7, -7, -3] ⋅ [1, -6, -1]",52,7,3
181,"[9, -5, -3] ⋅ [-6, 9, 9]",-126,-54,-27
182,"[-3, -2, 7] ⋅ [-10, -7, 0]",44,30,0
183,"[-3, 9, 4] ⋅ [-3, -3, 0]",-18,9,0
184,"[0, 7, 0] ⋅ [0, 5, -9]",35,0,0
185,"[-1, 8, 0] ⋅ [4, -5, -5]",-44,-4,0
186,"[-1, 0, 2] ⋅ [-9, -4, 4]",17,9,8
187,"[1, -7, -5] ⋅ [3, 2, -7]",24,3,35
188,"[5, 5, -5] ⋅ [4, 1, 6]",-5,20,-30
189,"[-2, -3, -2] ⋅ [-9, -5, 1]",31,18,-2
190,"[-7, -9, -8] ⋅ [4, 3, -7]",1,-28,56
191,"[-6, 6, -7] ⋅ [8, -3, 0]",-66,-48,0
192,"[-7, -6, 8] ⋅ [5, -10, 1]",33,-35,8
193,"[6, -1, -5] ⋅ [1, 1, -5]",30,6,25
194,"[1, -3, 4] ⋅ [-6, -1, 4]",13,-6,16
195,"[-4, 2, 8] ⋅ [-4, 8, 3]",56,16,24
196,"[-1, 2, -7] ⋅ [4, 1, -6]",40,-4,42
197,"[-5, 5, 9] ⋅ [-5, -6, -8]",-77,25,-72
198,"[-10, 8, 1] ⋅ [9, 7, -4]",-38,-90,-4
199,"[-8, 5, 4] ⋅ [-6, 5, -10]",33,48,-40
200,"[-8, -1, 2] ⋅ [-8, -7, 7]",85,64,14
201,"[8, 6, -3] ⋅ [-9, -4, -5]",-81,-72,15
202,"[-7, 6, -9] ⋅ [-7, -9, 1]",-14,49,-9
203,"[-5, 0, -9] ⋅ [-5, 7, 1]",16,25,-9
204,"[-7, -9, 5] ⋅ [-4, -10, -2]",108,28,-10
205,"[4, -8, -4] ⋅ [-7, 4, -1]",-56,-28,4
206,"[5, -5, -7] ⋅ [6, -6, -7]",109,30,49
207,"[-5, 2, 0] ⋅ [-8, -10, -7]",20,40,0
208,"[6, -1, 2] ⋅ [5, 7, -3]",17,30,-6
209,"[3, -1, 1] ⋅ [2, -2, 0]",8,6,0
210,"[9, -2, -6] ⋅ [0, 0, 5]",-30,0,-30
211,"[-3, 9, -7] ⋅ [-5, -4, -3]",0,15,21
212,"[7, -2, 6] ⋅ [-2, 2, 9]",36,-14,54
213,"[2, -8, 6] ⋅ [-9, 7, -7]",-116,-18,-42
214,"[1, 2, -3] ⋅ [5, 0, -6]",23,5,18
215,"[0, -9, -10] ⋅ [-10, -6, 5]",4,0,-50
216,"[-4, -9, -10] ⋅ [-3, -9, -1]",103,12,10
217,"[-8, -7, 8] ⋅ [-1, 8, -6]",-96,8,-48
218,"[-4, 0, 4] ⋅ [-1, -3, 9]",40,4,36
219,"[-1, -2, 4] ⋅ [-10, -9, 4]",44,10,16
220,"[-6, -8, 5] ⋅ [-5, -5, -2]",60,30,-10
221,"[2, 8, -7] ⋅ [-8, 1, 2]",-22,-16,-14
222,"[9, -3, 3] ⋅ [-10, 2, -2]",-102,-90,-6
223,"[-7, 5, 9] ⋅ [4, 4, -5]",-53,-28,-45
224,"[-2, -10, 4] ⋅ [-6, 2, 2]",0,12,8
225,"[-3, -3, 7] ⋅ [-9, -3, -6]",-6,27,-42
226,"[-9, 5, 7] ⋅ [-8, 2, 8]",138,72,56
227,"[-2, 2, -4] ⋅ [-9, -3, 8]",-20,18,-32
228,"[2, 5, -6] ⋅ [-6, 7, 7]",-19,-12,-42
229,"[-10, -10, -4] ⋅ [-1, 5, 0]",-40,10,0
230,"[5, -1, 4] ⋅ [-8, 1, -9]",-77,-40,-36
231,"[1, -1, 3] ⋅ [-7, -2, 4]",7,-7,12
232,"[-6, -3, -9] ⋅ [-5, 1, 2]",9,30,-18
233,"[8, 2, -2] ⋅ [-9, -3, 5]",-88,-72,-10
234,"[-5, -6, 8] ⋅ [4, 6, -3]",-80,-20,-24
235,"[-9, -10, 7] ⋅ [-3, 0, 9]",90,27,63
236,"[-7, -5, -2] ⋅ [-6, -9, -3]",93,42,6
237,"[2, -8, 2] ⋅ [-3, 2, 4]",-14,-6,8
238,"[-2, 6, 8] ⋅ [7, -7, 7]",0,-14,56
239,"[-3, -7, -5] ⋅ [-10, -3, -4]",71,30,20
240,"[3, 2, -7] ⋅ [0, 4, 5]",-27,0,-35
241,"[9, 6, 1] ⋅ [-7, -5, 7]",-86,-63,7
242,"[0, -1, 2] ⋅ [-10, -4, 1]",6,0,2
243,"[7, -8, 5] ⋅ [-8, -4, -4]",-44,-56,-20
244,"[-7, -8, -6] ⋅ [4, 4, 0]",-60,-28,0
245,"[2, 7, -7] ⋅ [0, 2, -4]",42,0,28
246,"[-7, 6, 8] ⋅ [7, -2, -2]",-77,-49,-16
247,"[8, -10, -1] ⋅ [5, 9, -2]",-48,40,2
248,"[5, -7, 9] ⋅ [-9, 3, 8]",6,-45,72
249,"[1, 0, -7] ⋅ [-6, 5, -4]",22,-6,28
250,"[-1, 9, 4] ⋅ [1, 6, 2]",61,-1,8
251,"[-7, 5, 4] ⋅ [-4, 0, -3]",16,28,-12
252,"[-6, -4, 9] ⋅ [3, 4, -8]",-106,-18,-72
253,"[-6, -4, 4] ⋅ [6, 7, -3]",-76,-36,-12
254,"[3, -9, -3] ⋅ [-10, 1, 4]",-51,-30,-12
255,"[5, -3, 1] ⋅ [-9, 1, 4]",-44,-45,4
256,"[7, -3, -5] ⋅ [-3, 6, 6]",-69,-21,-30
257,"[-9, 4, 5] ⋅ [-6, 4, 3]",85,54,15
258,"[-10, 7, 0] ⋅ [8, -8, -9]",-136,-80,0
259,"[-1, -6, 3] ⋅ [6, 2, 1]",-15,-6,3
260,"[-5, 2, -3] ⋅ [-8, 8, 2]",50,40,-6
261,"[4, 7, 3] ⋅ [7, -10, 8]",-18,28,24
262,"[-6, 6, 4] ⋅ [3, 0, 4]",-2,-18,16
263,"[7, 5, 9] ⋅ [6, 4, 7]",125,42,63
264,"[-5, 5, 2] ⋅ [-7, 9, 2]",84,35,4
265,"[2, 5, 4] ⋅ [-2, -10, 0]",-54,-4,0
266,"[5, -7, 9] ⋅ [-5, -1, -7]",-81,-25,-63
267,"[-1, -2, 7] ⋅ [-2, 1, 0]",0,2,0
268,"[1, -8, -10] ⋅ [-4, -3, 6]",-40,-4,-60
269,"[-9, -3, -1] ⋅ [-5, 6, -7]",34,45,7
270,"[-8, 2, -10] ⋅ [6, 3, 0]",-42,-48,0
271,"[-8, 1, -2] ⋅ [6, -8, -4]",-48,-48,8
272,"[-8, -4, -6] ⋅ [-3, 9, -4]",12,24,24
273,"[-4, 4, 1] ⋅ [-7, 1, 9]",41,28,9
274,"[-8, -6, -9] ⋅ [0, 7, 4]",-78,0,-36
275,"[3, 6, -2] ⋅ [6, 1, 2]",20,18,-4
276,"[-3, 3, 9] ⋅ [7, -7, 4]",-6,-21,36
277,"[-6, -10, 6] ⋅ [4, -8, 9]",110,-24,54
278,"[-8, -9, -4] ⋅ [3, -10, -6]",90,-24,24
279,"[-5, -2, -7] ⋅ [1, 6, -10]",53,-5,70
280,"[3, 7, 2] ⋅ [6, 7, -1]",65,18,-2
281,"[4, 6, -7] ⋅ [8, -6, -5]",31,32,35
282,"[-9, -6, 2] ⋅ [-8, -8, 6]",132,72,12
283,"[-2, 2, -4] ⋅ [-6, -7, -10]",38,12,40
284,"[9, 2, -3] ⋅ [-4, 1, 2]",-40,-36,-6
285,"[2, -4, -7] ⋅ [3, -10, -6]",88,6,42
286,"[6, -9, -7] ⋅ [0, 5, 8]",-101,0,-56
287,"[0, -2, 1] ⋅ [-1, -9, -5]",13,0,-5
288,"[0, 9, -2] ⋅ [-4, -2, 1]",-20,0,-2
289,"[4, 0, 3] ⋅ [-6, 9, -5]",-39,-24,-15
290,"[-2, 9, 9] ⋅ [-2, 5, 8]",121,4,72
291,"[-7, 8, 9] ⋅ [-9, -8, 4]",35,63,36
292,"[-3, 2, -8] ⋅ [-2, 9, 2]",8,6,-16
293,"[-9, 0, 6] ⋅ [-10, -5, -3]",72,90,-18
294,"[-7, 4, -7] ⋅ [3, 2, -5]",22,-21,35
295,"[-1, 8, 9] ⋅ [6, -4, 4]",-2,-6,36
296,"[4, 0, 4] ⋅ [-2, -6, 8]",24,-8,32
297,"[-4, 5, 4] ⋅ [2, -2, 8]",14,-8,32
298,"[7, 2, 2] ⋅ [0, -3, 4]",2,0,8
299,"[-8, -3, -1] ⋅ [4, 5, 5]",-52,-32,-5
300,"[-1, 0, 0] ⋅ [4, -4, 0]",-4,-4,0
301,"[1, -1, -4] ⋅ [-8, 0, -1]",-4,-8,4
302,"[0, 7, -4] ⋅ [-5, -2, -3]",-2,0,12
303,"[8, 3, 6] ⋅ [5, 7, -4]",37,40,-24
304,"[0, -3, -9] ⋅ [-4, 8, -6]",30,0,54
305,"[-1, -7, -3] ⋅ [-6, 1, 8]",-25,6,-24
306,"[9, 1, -10] ⋅ [-2, -1, 5]",-69,-18,-50
307,"[-9, 2, 9] ⋅ [-2, -8, 6]",56,18,54
308,"[-1, 7, -6] ⋅ [9, 7, -4]",64,-9,24
309,"[2, 0, -3] ⋅ [-2, 2, -2]",2,-4,6
310,"[4, 5, 5] ⋅ [3, 1, -3]",2,12,-15
311,"[3, -6, -1] ⋅ [7, 5, -3]",-6,21,3
312,"[-7, -8, 5] ⋅ [9, -4, 3]",-16,-63,15
313,"[-10, -6, 0] ⋅ [0, -9, -8]",54,0,0
314,"[3, 2, 0] ⋅ [6, -3, 3]",12,18,0
315,"[-7, 9, -2] ⋅ [0, -8, -7]",-58,0,14
316,"[-5, 9, -9] ⋅ [-1, -2, 9]",-94,5,-81
317,"[4, 6, -4] ⋅ [-8, -8, 7]",-108,-32,-28
318,"[-3, -6, 3] ⋅ [2, 8, 6]",-36,-6,18
319,"[6, 3, 7] ⋅ [-3, -7, -2]",-53,-18,-14
320,"[9, 0, -7] ⋅ [-3, 6, -8]",29,-27,56
321,"[-3, 0, 8] ⋅ [-5, 3, 2]",31,15,16
322,"[-5, -1, -2] ⋅ [-7, 5, -5]",40,35,10
323,"[9, -2, 5] ⋅ [4, -1, 7]",73,36,35
324,"[-8, -7, -10] ⋅ [4, 2, -3]",-16,-32,30
325,"[9, 2, 7] ⋅ [-4, -3, -4]",-70,-36,-28
326,"[7, 6, -1] ⋅ [3, -7, -10]",-11,21,10
327,"[0, -10, 9] ⋅ [7, -4, -2]",22,0,-18
328,"[0, 5, -8] ⋅ [8, -5, -6]",23,0,48
329,"[5, -10, 0] ⋅ [9, -7, 6]",115,45,0
330,"[-10, -6, -1] ⋅ [-1, 7, -6]",-26,10,6
331,"[2, 2, 9] ⋅ [2, 1, -6]",-48,4,-54
332,"[6, -5, 5] ⋅ [-4, -10, -10]",-24,-24,-50
333,"[-9, 7, -1] ⋅ [7, 1, 5]",-61,-63,-5
334,"[5, -5, 0] ⋅ [4, 3, -3]",5,20,0
335,"[-7, -4, -7] ⋅ [-3, 6, 2]",-17,21,-14
336,"[1, 4, 0] ⋅ [9, -10, -10]",-31,9,0
337,"[-7, 5, 0] ⋅ [-2, 3, 4]",29,14,0
338,"[-1, -10, 1] ⋅ [6, 5, -9]",-65,-6,-9
339,"[4, -8, 2] ⋅ [-1, -7, -9]",34,-4,-18
340,"[5, -2, -5] ⋅ [8, 5, 9]",-15,40,-45
341,"[-9, -8, 4] ⋅ [-3, -8, -6]",67,27,-24
342,"[-6, -9, -3] ⋅ [2, 4, -6]",-30,-12,18
343,"[7, 9, -4] ⋅ [-6, 3, 4]",-31,-42,-16
344,"[-6, 7, -7] ⋅ [8, -7, -1]",-90,-48,7
345,"[-4, -9, -10] ⋅ [2, -4, 9]",-62,-8,-90
346,"[6, -2, 7] ⋅ [4, -2, 2]",42,24,14
347,"[-3, 6, 0] ⋅ [9, 3, -8]",-9,-27,0
348,"[0, -5, 3] ⋅ [1, 1, 9]",22,0,27
349,"[-9, -1, -4] ⋅ [-4, 1, -7]",63,36,28
350,"[8, -1, 0] ⋅ [7, 4, 2]",52,56,0
351,"[-1, 4, 7] ⋅ [2, -6, 4]",2,-2,28
352,"[4, -5, -6] ⋅ [-2, -6, 6]",-14,-8,-36
353,"[-7, 7, 0] ⋅ [6, -3, 4]",-63,-42,0
354,"[4, -6, 6] ⋅ [-6, 9, 0]",-78,-24,0
355,"[7, -3, 7] ⋅ [1, 6, -4]",-39,7,-28
356,"[3, 8, -6] ⋅ [-9, -5, 5]",-97,-27,-30
357,"[0, 1, 3] ⋅ [2, -6, 2]",0,0,6
358,"[0, 8, -9] ⋅ [-9, -1, 3]",-35,0,-27
359,"[0, 9, 5] ⋅ [7, -4, 4]",-16,0,20
360,"[4, 8, 7] ⋅ [3, 0, 0]",12,12,0
361,"[-4, -2, 0] ⋅ [-7, 8, -9]",12,28,0
362,"[-1, 4, 0] ⋅ [4, -5, -2]",-24,-4,0
363,"[-5, -8, 8] ⋅ [6, -3, 1]",2,-30,8
364,"[-4, 3, 0] ⋅ [-8, 8, 7]",56,32,0
365,"[9, -5, 9] ⋅ [9, -1, 8]",158,81,72
366,"[-5, 9, -4] ⋅ [0, 2, 1]",14,0,-4
367,"[5, -9, 3] ⋅ [5, 0, -6]",7,25,-18
368,"[6, 2, 0] ⋅ [-9, 4, -2]",-46,-54,0
369,"[-10, 5, -7] ⋅ [1, 7, -9]",88,-10,63
370,"[-4, 0, -9] ⋅ [8, 4, 1]",-41,-32,-9
371,"[-3, -5, -10] ⋅ [0, -3, -4]",55,0,40
372,"[7, 8, 3] ⋅ [-6, 1, -7]",-55,-42,-21
373,"[-3, -2, -2] ⋅ [-7, 6, 8]",-7,21,-16
374,"[6, -8, 7] ⋅ [-2, -10, -6]",26,-12,-42
375,"[-7, -8, -5] ⋅ [1, 6, 4]",-75,-7,-20
376,"[-1, 1, 8] ⋅ [2, -9, 6]",37,-2,48
377,"[-8, 5, -1] ⋅ [-7, 2, -1]",67,56,1
378,"[6, 3, -6] ⋅ [0, -2, 7]",-48,0,-42
379,"[-4, 5, 3] ⋅ [-1, -7, 2]",-25,4,6
380,"[2, -10, -2] ⋅ [-8, -6, -10]",64,-16,20
381,"[0, -2, -7] ⋅ [4, -5, 5]",-25,0,-35
382,"[9, -5, 3] ⋅ [-7, 2, -4]",-85,-63,-12
383,"[-9, 9, -7] ⋅ [7, 7, 5]",-35,-63,-35
384,"[3, 4, -2] ⋅ [-7, -4, 2]",-41,-21,-4
385,"[6, 8, -6] ⋅ [1, 7, 3]",44,6,-18
386,"[4, -3, 0] ⋅ [2, -8, -8]",32,8,0
387,"[5, 8, -9] ⋅ [-9, -4, -1]",-68,-45,9
388,"[3, -2, 8] ⋅ [4, 1, -2]",-6,12,-16
389,"[1, -7, -9] ⋅ [6, 3, 5]",-60,6,-45
390,"[7, -10, -8] ⋅ [-6, 2, -9]",10,-42,72
391,"[-6, 2, -8] ⋅ [-5, -8, 2]",-2,30,-16
392,"[5, -7, -7] ⋅ [0, 7, 8]",-105,0,-56
393,"[7, -1, -1] ⋅ [1, 4, 9]",-6,7,-9
