,problem,correct_solution,intermediate_1,intermediate_2,intermediate_3,intermediate_4
37,"[7, 4, 5, 3] ⋅ [2, 8, 7, 5]",96,14,32,35,15
38,"[7, 7, 3, 8] ⋅ [9, 2, 5, 4]",124,63,14,15,32
39,"[7, 7, 9, 5] ⋅ [2, 7, 2, 4]",101,14,49,18,20
40,"[5, 9, 8, 8] ⋅ [9, 7, 8, 3]",196,45,63,64,24
41,"[4, 5, 2, 7] ⋅ [9, 3, 7, 5]",100,36,15,14,35
42,"[7, 9, 8, 8] ⋅ [8, 3, 8, 9]",219,56,27,64,72
43,"[3, 2, 3, 8] ⋅ [7, 8, 4, 8]",113,21,16,12,64
44,"[9, 5, 8, 4] ⋅ [5, 2, 7, 5]",131,45,10,56,20
45,"[7, 5, 7, 4] ⋅ [5, 7, 7, 7]",147,35,35,49,28
46,"[8, 8, 8, 8] ⋅ [7, 4, 3, 8]",176,56,32,24,64
47,"[4, 4, 4, 2] ⋅ [4, 8, 7, 9]",94,16,32,28,18
48,"[2, 8, 3, 2] ⋅ [8, 9, 7, 5]",119,16,72,21,10
49,"[4, 4, 2, 9] ⋅ [9, 3, 8, 2]",82,36,12,16,18
50,"[2, 4, 7, 9] ⋅ [4, 2, 8, 3]",99,8,8,56,27
51,"[5, 5, 8, 5] ⋅ [8, 3, 9, 3]",142,40,15,72,15
52,"[7, 5, 3, 5] ⋅ [2, 8, 8, 8]",118,14,40,24,40
53,"[8, 5, 8, 5] ⋅ [3, 8, 8, 8]",168,24,40,64,40
54,"[2, 5, 8, 4] ⋅ [7, 9, 8, 3]",135,14,45,64,12
55,"[5, 5, 8, 5] ⋅ [2, 2, 5, 4]",80,10,10,40,20
56,"[9, 2, 8, 3] ⋅ [4, 4, 2, 7]",81,36,8,16,21
57,"[3, 4, 3, 5] ⋅ [7, 3, 5, 7]",83,21,12,15,35
58,"[7, 2, 3, 5] ⋅ [8, 4, 5, 3]",94,56,8,15,15
59,"[7, 3, 2, 4] ⋅ [4, 4, 2, 4]",60,28,12,4,16
60,"[3, 7, 4, 4] ⋅ [8, 7, 5, 5]",113,24,49,20,20
61,"[5, 2, 8, 2] ⋅ [4, 4, 7, 2]",88,20,8,56,4
62,"[8, 4, 8, 7] ⋅ [8, 4, 8, 9]",207,64,16,64,63
63,"[2, 8, 7, 4] ⋅ [5, 8, 9, 5]",157,10,64,63,20
64,"[4, 4, 5, 7] ⋅ [4, 2, 7, 7]",108,16,8,35,49
65,"[8, 4, 4, 3] ⋅ [9, 4, 5, 4]",120,72,16,20,12
66,"[7, 3, 7, 9] ⋅ [7, 5, 2, 2]",96,49,15,14,18
67,"[3, 3, 5, 7] ⋅ [7, 7, 9, 3]",108,21,21,45,21
68,"[9, 7, 4, 3] ⋅ [9, 8, 2, 7]",166,81,56,8,21
69,"[7, 8, 5, 7] ⋅ [9, 8, 5, 3]",173,63,64,25,21
70,"[9, 8, 5, 3] ⋅ [8, 5, 3, 3]",136,72,40,15,9
71,"[4, 2, 7, 8] ⋅ [8, 7, 8, 8]",166,32,14,56,64
72,"[4, 3, 7, 7] ⋅ [7, 8, 7, 8]",157,28,24,49,56
73,"[8, 5, 4, 5] ⋅ [5, 9, 9, 5]",146,40,45,36,25
74,"[9, 4, 7, 5] ⋅ [4, 8, 9, 2]",141,36,32,63,10
75,"[9, 2, 3, 8] ⋅ [2, 9, 8, 9]",132,18,18,24,72
76,"[3, 9, 4, 9] ⋅ [9, 7, 5, 8]",182,27,63,20,72
77,"[2, 2, 8, 8] ⋅ [8, 8, 9, 9]",176,16,16,72,72
78,"[9, 7, 2, 9] ⋅ [3, 8, 8, 2]",117,27,56,16,18
79,"[4, 4, 2, 3] ⋅ [2, 3, 8, 9]",63,8,12,16,27
80,"[3, 5, 2, 9] ⋅ [9, 3, 9, 7]",123,27,15,18,63
81,"[8, 3, 3, 2] ⋅ [9, 3, 8, 9]",123,72,9,24,18
82,"[7, 5, 7, 8] ⋅ [4, 2, 5, 5]",113,28,10,35,40
83,"[4, 2, 2, 2] ⋅ [5, 5, 7, 4]",52,20,10,14,8
84,"[5, 7, 8, 8] ⋅ [7, 8, 5, 2]",147,35,56,40,16
85,"[3, 4, 5, 7] ⋅ [7, 2, 2, 2]",53,21,8,10,14
86,"[9, 7, 7, 8] ⋅ [5, 9, 7, 3]",181,45,63,49,24
87,"[9, 2, 8, 2] ⋅ [7, 8, 8, 2]",147,63,16,64,4
88,"[5, 8, 3, 8] ⋅ [5, 3, 5, 3]",88,25,24,15,24
89,"[8, 4, 8, 9] ⋅ [7, 2, 4, 2]",114,56,8,32,18
90,"[8, 8, 3, 5] ⋅ [3, 4, 8, 8]",120,24,32,24,40
91,"[2, 7, 8, 2] ⋅ [5, 3, 5, 5]",81,10,21,40,10
92,"[9, 2, 9, 4] ⋅ [4, 7, 3, 8]",109,36,14,27,32
93,"[2, 2, 5, 5] ⋅ [4, 5, 4, 3]",53,8,10,20,15
94,"[5, 8, 5, 5] ⋅ [4, 2, 3, 2]",61,20,16,15,10
95,"[5, 4, 3, 8] ⋅ [9, 3, 9, 9]",156,45,12,27,72
96,"[8, 9, 3, 8] ⋅ [2, 8, 7, 7]",165,16,72,21,56
97,"[4, 5, 9, 8] ⋅ [3, 8, 3, 7]",135,12,40,27,56
98,"[2, 8, 2, 5] ⋅ [2, 7, 8, 2]",86,4,56,16,10
99,"[9, 4, 3, 2] ⋅ [8, 9, 4, 2]",124,72,36,12,4
